asset_id,asset_name,service_request_id,service_request_timestamp,priority,service_request_text,failure_description
2561,E-1834,SR-46192,2021-05-25T13:03:57.587000+00:00,1,Replace the limit switch on XV-18224,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
2868,BL-1829,SR-46601,2021-06-21T10:41:03.620000+00:00,4,Vibration System Ethernet Connection and AI wiring,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
10034,BL-1829,SR-46915,2021-07-13T12:27:14.293000+00:00,4,Maximum limit for AMP and  FLA for BL1829 Inestigation,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
10034,BL-1829,SR-46990,2021-07-19T09:56:14.223000+00:00,1,1829 Blower - daily insopection,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2561,E-1834,SR-47403,2021-08-17T14:33:53.920000+00:00,1,Paint or mark-off step at DDG Cooler,The rotating rake in the product cooler that is meant to distribute the product evenly across the louvers often gets the distribution rakes moved out of position due to excessive levels in the cooler and higher than desirable moisture in the cooler. This also wears other mechanical components prematurely as well.
10034,BL-1829,SR-47676,2021-09-07T10:11:36.927000+00:00,1,Viraj - TP15 setpoint from 515 to 532,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2876,RV-1834,SR-47754,2021-09-13T10:12:52.890000+00:00,4,RV-1834 chain drive is rattling - possibly contributing to trips of the RV,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
3686,LT-41310,SR-47802,2021-09-15T15:35:56.380000+00:00,4,Level controller not working,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
,BL-1829,SR-47828,2021-09-17T07:20:08.440000+00:00,1,BL-1829 Ramping Issue,The fan wheel gets product build up on it over time causing it to run un-balanced. This eventually causes the pillow block bearings housings to start wearing between the cap and the outerrace of the bearing leading to pre-mature bearing failures.
2876,RV-1834,SR-47865,2021-09-20T05:47:25.387000+00:00,1,RV-1834 tripped on high AMPS,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
2876,RV-1834,SR-47876,2021-09-21T08:02:15.007000+00:00,1,"RV not turning, investigation requires removal and replace",Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
3686,LT-41310,SR-47896,2021-09-23T09:35:45.147000+00:00,4,Please send to Viraj - Change alarming of LT-41310,"gets build up on sensing rod, giving a fales reading. may just require a different technology. IE touchless"
2563,EJ-1837,SR-48035,2021-09-30T16:47:56.457000+00:00,4,P-1837 Leaking water,The injection tube often gets clogged up from scale that is a result of using city water in a steam system that should be using RO water. 
2876,RV-1834,SR-48320,2021-10-20T21:34:37.027000+00:00,1,RV-1834  has a consistent knock in its gear box with each revolution,Rotary Valve amps go high due to product build up around the bearing seals causing extra drag on the rotor. This causes the dryer to go into fast shutdown.
6660,P-1837,SR-48637,2021-11-10T09:39:31.563000+00:00,4,P-1837 Dryer A Hydro Heater Pump Seal Leak,Multiple mechanical Seal failures due to poorly controlled water temperature that often gets over heated beyond the seal material specifications
,CV-1828,SR-50291,2022-02-15T06:49:02.580000+00:00,1,Tail bearings noisy and loose,"The conveyor has experienced premature bearing failures that has caused excessive down time to the dryer equipment. This is an inlcine auger that takes alot of thrust load, the original spherical roller bearing that was specced out on the conveyor does not take thrust load very well. We have since changed to taper roller style bearing better suited for thrust loads but we have not had enough run time on them to know if this is going to fix the issue."
