Shutdown_Number,Shutdown_Start,Recovery_Timestamp,Shutdown_Length_Hours,Shutdown_Length_Days,Uptime_Hours_Lost,Before_Shutdown_Value,Start_Value,End_Value,Recovery_Value,Number_Of_Readings
1,2023-02-16T00:10:00.000Z,2023-02-17T00:10:00.000Z,24.0,1.0,0.59,0.898479164,0.894381942,0.309072139,0.3109047,144
2,2023-02-24T00:00:00.000Z,2023-02-25T00:10:00.000Z,24.17,1.01,4.99,23.98333359,23.97986368,18.99013563,19.02483472,145
3,2023-03-02T00:00:00.000Z,2023-03-03T00:10:00.000Z,24.17,1.01,5.59,23.98333359,23.97944701,18.39055383,18.42941956,145
4,2023-03-12T00:00:00.000Z,2023-03-13T00:10:00.000Z,24.17,1.01,1.0,23.98333359,23.98260895,22.98402803,22.99097248,139
5,2023-04-04T00:00:00.000Z,2023-04-05T00:10:00.000Z,24.17,1.01,18.84,23.98333359,23.97024061,5.142537578,5.273467362,145
6,2023-04-06T00:10:00.000Z,2023-04-07T00:10:00.000Z,24.0,1.0,7.41,23.97817849,23.92662756,16.56515456,16.61670549,144
7,2023-04-08T00:10:00.000Z,2023-04-10T00:10:00.000Z,48.0,2.0,4.06,23.98298945,23.97954809,19.92171062,19.94993594,288
8,2023-04-12T00:00:00.000Z,2023-04-30T00:00:00.000Z,432.0,18.0,23.98,23.98333359,23.96670357,0.0,7.98611E-4,289
9,2023-05-07T00:00:00.000Z,2023-05-08T00:10:00.000Z,24.17,1.01,21.41,23.98333359,23.96845627,2.574877258,2.723650408,145
10,2023-05-10T00:00:00.000Z,2023-05-11T00:10:00.000Z,24.17,1.01,2.93,23.98333359,23.98129655,21.05203627,21.07240665,145
11,2023-05-29T00:00:00.000Z,2023-05-30T00:10:00.000Z,24.17,1.01,14.79,23.98333359,23.97305504,9.192500916,9.29528641,145
12,2023-06-08T00:00:00.000Z,2023-06-09T00:10:00.000Z,24.17,1.01,19.35,23.98333359,23.96988914,4.636777899,4.771222344,145
13,2023-06-14T00:00:00.000Z,2023-06-17T00:00:00.000Z,72.0,3.0,23.97,23.98333359,23.97949562,0.010864583,0.013494599,432
14,2023-06-19T00:10:00.000Z,2023-06-20T00:10:00.000Z,24.0,1.0,3.19,23.98111368,23.95891461,20.78888678,20.81108585,144
15,2023-06-28T00:00:00.000Z,2023-06-29T00:10:00.000Z,24.17,1.01,0.68,23.98333359,23.98285905,23.30047377,23.30521915,145
16,2023-06-30T00:00:00.000Z,2023-07-04T00:00:00.000Z,96.0,4.0,23.98,23.97906275,23.97272826,0.0,0.001984568,289
17,2023-07-18T00:00:00.000Z,2023-07-19T00:10:00.000Z,24.17,1.01,5.67,23.98333359,23.97939609,18.31727101,18.35664601,145
18,2023-07-29T00:00:00.000Z,2023-07-30T00:10:00.000Z,24.17,1.01,3.0,23.98333359,23.98124871,20.9831964,21.00404517,145
19,2023-08-11T00:00:00.000Z,2023-08-12T00:10:00.000Z,24.17,1.01,8.3,23.98333359,23.97756391,15.68076987,15.73846663,145
20,2023-08-16T00:00:00.000Z,2023-08-17T00:10:00.000Z,24.17,1.01,0.79,23.98333359,23.98278189,23.18944025,23.19495723,145
21,2023-08-25T00:00:00.000Z,2023-08-26T00:10:00.000Z,24.17,1.01,15.72,23.98333359,23.97240805,8.259056378,8.344060238,145
22,2023-08-31T00:00:00.000Z,2023-09-01T00:10:00.000Z,24.17,1.01,10.18,23.98333359,23.97625874,13.80262996,13.87337842,145
23,2023-10-02T00:00:00.000Z,2023-10-03T00:10:00.000Z,24.17,1.01,21.69,23.98333359,23.96825874,2.290630456,2.441378915,145
24,2023-10-13T00:00:00.000Z,2023-10-28T00:00:00.000Z,360.0,15.0,23.98,23.98333359,23.96747344,0.0,0.013100694,289
25,2023-11-05T01:10:00.000Z,2023-11-05T01:20:00.000Z,0.17,0.01,0.03,24.06400025,24.03066692,24.03066692,24.07733359,1
26,2023-11-05T01:20:00.000Z,2023-11-05T01:30:00.000Z,0.17,0.01,0.03,24.07066692,24.03733359,24.03733359,24.08400025,1
27,2023-11-05T01:30:00.000Z,2023-11-05T01:40:00.000Z,0.17,0.01,0.03,24.07733359,24.04400025,24.04400025,24.09066692,1
28,2023-11-05T01:40:00.000Z,2023-11-05T01:50:00.000Z,0.17,0.01,0.03,24.08400025,24.05066692,24.05066692,24.09733359,1
29,2023-11-05T01:50:00.000Z,2023-11-05T02:00:00.000Z,0.17,0.01,0.03,24.09066692,24.05733359,24.05733359,24.10400025,1
30,2023-11-06T00:10:00.000Z,2023-11-13T00:10:00.000Z,168.0,7.0,1.0,24.98263914,24.9756947,23.98333359,19.80990439,144
31,2023-11-12T00:00:00.000Z,2023-11-13T00:10:00.000Z,24.17,1.01,4.2,23.98333359,23.98041306,19.78069915,19.80990439,145
32,2023-11-25T00:00:00.000Z,2023-12-01T00:00:00.000Z,144.0,6.0,23.98,23.98333359,23.97941924,0.0,0.004877315,433
33,2024-01-09T00:00:00.000Z,2024-01-10T00:10:00.000Z,24.17,1.01,12.45,23.98333359,23.97467888,11.5292102,11.61575727,145
34,2024-01-13T00:00:00.000Z,2024-01-14T00:10:00.000Z,24.17,1.01,23.92,23.98333359,23.96671553,0.060419755,0.131283955,145
35,2024-01-15T00:10:00.000Z,2024-01-16T00:10:00.000Z,24.0,1.0,10.24,10.25065471,10.17942014,0.00637037,0.070074073,144
36,2024-01-30T00:00:00.000Z,2024-02-01T00:10:00.000Z,48.17,2.01,23.97,23.98333359,23.98122711,0.016025849,0.176284341,289
37,2024-02-02T00:10:00.000Z,2024-02-03T00:10:00.000Z,24.0,1.0,6.95,23.07238833,23.02404342,16.12101854,16.1756559,144
38,2024-02-09T00:00:00.000Z,2024-02-12T00:00:00.000Z,72.0,3.0,23.98,23.98333359,23.97540033,0.0,0.003358025,289
39,2024-02-23T00:00:00.000Z,2024-02-24T00:10:00.000Z,24.17,1.01,23.62,23.98333359,23.96692232,0.36045988,0.453947535,145
40,2024-03-03T00:00:00.000Z,2024-03-04T00:10:00.000Z,24.17,1.01,18.5,23.98333359,23.97048251,5.488054579,5.590820784,145
41,2024-03-10T00:00:00.000Z,2024-03-11T00:10:00.000Z,24.17,1.01,1.0,23.98333359,23.98260895,22.98402803,22.99097248,139
42,2024-03-16T00:00:00.000Z,2024-03-17T00:10:00.000Z,24.17,1.01,4.34,23.98333359,23.98032047,19.64745663,19.67758781,145
43,2024-03-27T00:00:00.000Z,2024-03-29T00:10:00.000Z,48.17,2.01,23.97,23.98333359,23.98307394,0.016655093,0.18320602,289
44,2024-03-30T00:10:00.000Z,2024-04-01T00:10:00.000Z,48.0,2.0,6.59,23.98258783,23.97513027,17.39026679,17.42626215,288
45,2024-04-02T00:10:00.000Z,2024-04-03T00:10:00.000Z,24.0,1.0,13.42,22.56066559,22.46732454,9.13920467,9.242360535,144
46,2024-04-09T00:00:00.000Z,2024-04-10T00:10:00.000Z,24.17,1.01,7.96,23.98333359,23.97780504,16.02775107,16.08303656,145
47,2024-04-11T00:10:00.000Z,2024-04-19T00:00:00.000Z,191.83,7.99,23.98,23.97655658,23.90878652,0.0,0.009124035,288
48,2024-04-28T00:00:00.000Z,2024-04-29T00:10:00.000Z,24.17,1.01,8.05,23.98333359,23.97774061,15.93503729,15.99096708,145
49,2024-04-30T00:10:00.000Z,2024-05-13T00:00:00.000Z,311.83,12.99,23.98,23.98287776,23.9783195,0.0,0.006722222,288
50,2024-05-15T00:10:00.000Z,2024-05-16T00:10:00.000Z,24.0,1.0,21.62,23.96830812,23.81805349,2.352234476,2.407913491,144
51,2024-05-17T00:10:00.000Z,2024-05-23T00:00:00.000Z,143.83,5.99,10.36,10.3572472,10.28527189,0.0,8.48765E-4,144
52,2024-05-29T00:00:00.000Z,2024-05-31T00:10:00.000Z,48.17,2.01,22.54,23.98333359,23.97342464,1.438444825,1.595115351,289
53,2024-06-04T00:00:00.000Z,2024-06-05T00:10:00.000Z,24.17,1.01,10.32,23.98333359,23.97615998,13.66050727,13.73224339,145
