Asset,Description,Location,Parent,Area,Tag_Full,INstrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Instrumentation_Data_Type_Meaning,INstrumentation_Type_Description,Role,Instrumentation_Description,Related_Location_Cleaned,Work_Order,WorkOrder_Description,Reported_Timestamp,Target_Finish_Timestamp,Actual_Finish_Timestamp,Status,Priority_Int,Work_Type,Lead
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRYER_D_BMS,CH-DRYER_D_BMS:TT84207.PNT,TT-84207,TT,PNT,Point value / indication,Temperature transmitter,Measurement,CV1828 SPEED SWITCH,CV-1828,25-53061,CV-1828 DRYER A - DRUM DISCHARGE CONVEYOR,2025-10-06T01:48:00.000Z,2025-12-03T00:00:00.000Z,,WSCH,4,PD,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DR_DUSTCOLL,CH-DR_DUSTCOLL:SY18216.OUT,SY-18216,SY,OUT,Controller output (CO),Speed output (VFD demand),Output/Demand,CV1828 CURRENT INDICATION,CV-1828,25-53061,CV-1828 DRYER A - DRUM DISCHARGE CONVEYOR,2025-10-06T01:48:00.000Z,2025-12-03T00:00:00.000Z,,WSCH,4,PD,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DR_DECANT701,CH-DR_DECANT701:XZSC17703A.CIN,XZSC-17703A,XZSC,CIN,Contact input (discrete),Sequence status (combined),Discrete Input,CV1828 CURRENT INDICATION,CV-1828,25-53061,CV-1828 DRYER A - DRUM DISCHARGE CONVEYOR,2025-10-06T01:48:00.000Z,2025-12-03T00:00:00.000Z,,WSCH,4,PD,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRYER_D,CH-DRYER_D:P1803D.STAIND,P-1803D,P,STAIND,"Status indication (open/closed, run/stop)",Pump (asset),Equipment status,CV1828 CURRENT INDICATION,CV-1828,25-53061,CV-1828 DRYER A - DRUM DISCHARGE CONVEYOR,2025-10-06T01:48:00.000Z,2025-12-03T00:00:00.000Z,,WSCH,4,PD,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRA_COMB_AIR,CH-DRA_COMB_AIR:TT18180C.MEAS,TT-18180C,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1828 SPEED SWITCH,CV-1828,25-53061,CV-1828 DRYER A - DRUM DISCHARGE CONVEYOR,2025-10-06T01:48:00.000Z,2025-12-03T00:00:00.000Z,,WSCH,4,PD,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRA_CYCLNS,CH-DRA_CYCLNS:TT18169C.MEAS,TT-18169C,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-53061,CV-1828 DRYER A - DRUM DISCHARGE CONVEYOR,2025-10-06T01:48:00.000Z,2025-12-03T00:00:00.000Z,,WSCH,4,PD,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRYER_A,CH-DRYER_A:CV1828.STAIND,CV-1828,CV,STAIND,"Status indication (open/closed, run/stop)",Conveyor (asset),Equipment status,DRUM DISCHARGE SCREW CVYR,,25-53061,CV-1828 DRYER A - DRUM DISCHARGE CONVEYOR,2025-10-06T01:48:00.000Z,2025-12-03T00:00:00.000Z,,WSCH,4,PD,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:PT35405.MEAS,PT-35405,PT,MEAS,Measured value (PV),Pressure transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-53061,CV-1828 DRYER A - DRUM DISCHARGE CONVEYOR,2025-10-06T01:48:00.000Z,2025-12-03T00:00:00.000Z,,WSCH,4,PD,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DR_DECANT701,CH-DR_DECANT701:XZSC17703A.CIN,XZSC-17703A,XZSC,CIN,Contact input (discrete),Sequence status (combined),Discrete Input,CV1828 CURRENT INDICATION,CV-1828,25-51820,Lubrication Route CV-1828 -3M,2025-09-15T01:49:00.000Z,2025-11-12T00:00:00.000Z,,WSCH,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DR_DUSTCOLL,CH-DR_DUSTCOLL:SY18216.OUT,SY-18216,SY,OUT,Controller output (CO),Speed output (VFD demand),Output/Demand,CV1828 CURRENT INDICATION,CV-1828,25-51820,Lubrication Route CV-1828 -3M,2025-09-15T01:49:00.000Z,2025-11-12T00:00:00.000Z,,WSCH,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRYER_D_BMS,CH-DRYER_D_BMS:TT84207.PNT,TT-84207,TT,PNT,Point value / indication,Temperature transmitter,Measurement,CV1828 SPEED SWITCH,CV-1828,25-51820,Lubrication Route CV-1828 -3M,2025-09-15T01:49:00.000Z,2025-11-12T00:00:00.000Z,,WSCH,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRYER_D,CH-DRYER_D:P1803D.STAIND,P-1803D,P,STAIND,"Status indication (open/closed, run/stop)",Pump (asset),Equipment status,CV1828 CURRENT INDICATION,CV-1828,25-51820,Lubrication Route CV-1828 -3M,2025-09-15T01:49:00.000Z,2025-11-12T00:00:00.000Z,,WSCH,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRA_COMB_AIR,CH-DRA_COMB_AIR:TT18180C.MEAS,TT-18180C,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1828 SPEED SWITCH,CV-1828,25-51820,Lubrication Route CV-1828 -3M,2025-09-15T01:49:00.000Z,2025-11-12T00:00:00.000Z,,WSCH,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRYER_A,CH-DRYER_A:CV1828.STAIND,CV-1828,CV,STAIND,"Status indication (open/closed, run/stop)",Conveyor (asset),Equipment status,DRUM DISCHARGE SCREW CVYR,,25-51820,Lubrication Route CV-1828 -3M,2025-09-15T01:49:00.000Z,2025-11-12T00:00:00.000Z,,WSCH,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRA_CYCLNS,CH-DRA_CYCLNS:TT18169C.MEAS,TT-18169C,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-51820,Lubrication Route CV-1828 -3M,2025-09-15T01:49:00.000Z,2025-11-12T00:00:00.000Z,,WSCH,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:PT35405.MEAS,PT-35405,PT,MEAS,Measured value (PV),Pressure transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-51820,Lubrication Route CV-1828 -3M,2025-09-15T01:49:00.000Z,2025-11-12T00:00:00.000Z,,WSCH,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRYER_D_BMS,CH-DRYER_D_BMS:TT84207.PNT,TT-84207,TT,PNT,Point value / indication,Temperature transmitter,Measurement,CV1828 SPEED SWITCH,CV-1828,25-48311,INSPECT GEARBOX,2025-07-28T14:45:00.000Z,2025-11-10T07:00:00.000Z,2025-11-11T08:20:00.000Z,COMP,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRA_CYCLNS,CH-DRA_CYCLNS:TT18169C.MEAS,TT-18169C,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-48307,CV-1828 MECHANICAL PM - 3M,2025-07-28T14:45:00.000Z,2025-11-10T10:00:00.000Z,2025-11-11T08:20:00.000Z,COMP,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRA_CYCLNS,CH-DRA_CYCLNS:TT18169C.MEAS,TT-18169C,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-48310,INSPECT PILLOW BLOCK BEARINGS,2025-07-28T14:45:00.000Z,2025-11-10T07:00:00.000Z,2025-11-11T08:20:00.000Z,COMP,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:PT35405.MEAS,PT-35405,PT,MEAS,Measured value (PV),Pressure transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-48311,INSPECT GEARBOX,2025-07-28T14:45:00.000Z,2025-11-10T07:00:00.000Z,2025-11-11T08:20:00.000Z,COMP,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:PT35405.MEAS,PT-35405,PT,MEAS,Measured value (PV),Pressure transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-48307,CV-1828 MECHANICAL PM - 3M,2025-07-28T14:45:00.000Z,2025-11-10T10:00:00.000Z,2025-11-11T08:20:00.000Z,COMP,4,PM,
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,,CH-DRA_CYCLNS,CH-DRA_CYCLNS:TT18169C.MEAS,TT-18169C,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1828 CURRENT INDICATION,CV-1828,25-48309,INSPECT TROUGH GASKETS FOR LEAKAGE,2025-07-28T14:45:00.000Z,2025-11-10T07:00:00.000Z,2025-11-11T08:20:00.000Z,COMP,4,PM,
