Shutdown_Number,Shutdown_Start,Recovery_Timestamp,Shutdown_Category,Tag_Full,Area,Instrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Role,Instrumentation_Description,nearest_reading_hours_before,raw_1h_mean,percentile_1h_mean,count_1h,raw_3h_mean,percentile_3h_mean,count_3h,raw_6h_mean,percentile_6h_mean,count_6h,raw_12h_mean,percentile_12h_mean,count_12h,raw_24h_mean,percentile_24h_mean,count_24h,raw_48h_mean,percentile_48h_mean,count_48h,raw_1w_mean,percentile_1w_mean,count_1w,raw_2w_mean,percentile_2w_mean,count_2w,raw_1m_mean,percentile_1m_mean,count_1m
180,2024-02-02T12:00:00.000Z,2024-02-02T15:20:00.000Z,3-12Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,2.85,,,,11.68000031,p0500-p0750,1,11.68000031,p0500-p0750,1,11.68000031,p0500-p0750,1,11.175000194999999,p0250-p0500,2,11.3949999825,p0500-p0750,4,10.9444443915,p0250-p0500,18,10.827692251820512,p0250-p0500,39,10.463506463155841,p0100-p0250,77
232,2024-05-29T10:40:00.000Z,2024-05-30T20:30:00.000Z,24-48Hr,CH-ML:DDGSbuilding.Percent.Balling,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % Balling,15.666666666666666,,,,,,,,,,,,,7.0,p0100-p0250,1,7.2000000475,p0100-p0250,2,8.33636374918182,p0100-p0250,11,9.908571493,p0250-p0500,21,9.92086959921739,p0250-p0500,23
24,2023-02-25T13:30:00.000Z,2023-02-25T13:50:00.000Z,<1Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,4.5,,,,,,,10.19999981,p0100-p0250,1,10.19999981,p0100-p0250,1,8.973333359,p0050-p0100,3,9.048000145,p0050-p0100,5,8.41000006195,p0025-p0050,20,8.5600000470625,p0025-p0050,32,8.688474655186438,p0025-p0050,59
100,2023-07-17T18:10:00.000Z,2023-07-17T18:30:00.000Z,<1Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,3.1666666666666665,,,,,,,9.880000114,p0100-p0250,1,10.215000152,p0100-p0250,2,10.200000128,p0100-p0250,3,10.781428746285714,p0250-p0500,7,10.524090940909092,p0100-p0250,22,10.333658555804881,p0100-p0250,41,10.056329147746833,p0100-p0250,79
129,2023-10-07T16:50:00.000Z,2023-10-07T18:00:00.000Z,1-3Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,3.8333333333333335,,,,,,,11.10000038,p0250-p0500,1,11.200000285000002,p0250-p0500,2,11.420000075,p0500-p0750,4,11.264999985000001,p0500-p0750,8,11.4524999619,p0500-p0750,20,11.327749943950005,p0500-p0750,40,11.061444409755557,p0500-p0750,90
217,2024-05-14T22:50:00.000Z,2024-05-14T23:40:00.000Z,<1Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,339.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,11.94760002116,p0950-p0975,25
124,2023-09-30T01:10:00.000Z,2023-09-30T01:50:00.000Z,<1Hr,CH-ML:DDGSbuilding.Percent.Balling,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % Balling,16.666666666666668,,,,,,,,,,,,,8.100000381,p0100-p0250,1,8.019999981,p0100-p0250,3,9.100999975399999,p0250-p0500,10,8.523043477130438,p0100-p0250,23,8.9099999815,p0100-p0250,48
110,2023-08-24T17:30:00.000Z,2023-08-25T18:50:00.000Z,24-48Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,16.5,,,,,,,,,,,,,9.8849997495,p0100-p0250,2,9.597500084750001,p0100-p0250,4,10.142857142428571,p0100-p0250,14,10.585454564848488,p0250-p0500,33,10.405632205275861,p0100-p0250,87
282,2025-02-28T19:50:00.000Z,2025-02-28T20:20:00.000Z,<1Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,18.533333333333335,,,,,,,,,,,,,11.86999989,p0750-p0900,1,11.86999989,p0750-p0900,1,11.86999989,p0900-p0950,1,11.86999989,p0900-p0950,1,11.86999989,p0900-p0950,1
218,2024-05-15T13:00:00.000Z,2024-05-15T18:40:00.000Z,3-12Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,354.0,,,,,,,,,,,,,,,,,,,,,,,,,11.94760002116,p0950-p0975,25
89,2023-06-21T15:50:00.000Z,2023-06-21T16:10:00.000Z,<1Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,13.833333333333334,,,,,,,,,,,,,7.699999809,p0005-p0010,2,9.234000015800001,p0050-p0100,5,8.645454623636365,p0025-p0050,11,9.080800056600001,p0050-p0100,25,9.192835793671643,p0050-p0100,67
115,2023-08-30T14:00:00.000Z,2023-08-30T16:50:00.000Z,1-3Hr,CH-ML:DDGSbuilding.Percent.Moisture,CH-ML,DDGSbuilding,KPI,,KPI/Calc,DDGS building % moisture,10.75,,,,,,,,,,10.30000019,p0100-p0250,1,10.30000019,p0100-p0250,2,10.30000019,p0100-p0250,2,11.309285708499997,p0500-p0750,14,10.819666703133331,p0250-p0500,30,10.511392424177215,p0250-p0500,79
