Shutdown_Number,Shutdown_Start,Recovery_Timestamp,Shutdown_Category,Tag_Full,Area,Instrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Role,Instrumentation_Description,raw_1h_mean,percentile_1h_mean,raw_1h_badfrac,percentile_1h_badfrac,count_1h,raw_3h_mean,percentile_3h_mean,raw_3h_badfrac,percentile_3h_badfrac,count_3h,raw_6h_mean,percentile_6h_mean,raw_6h_badfrac,percentile_6h_badfrac,count_6h,raw_12h_mean,percentile_12h_mean,raw_12h_badfrac,percentile_12h_badfrac,count_12h,raw_24h_mean,percentile_24h_mean,raw_24h_badfrac,percentile_24h_badfrac,count_24h,raw_48h_mean,percentile_48h_mean,raw_48h_badfrac,percentile_48h_badfrac,count_48h,raw_1w_mean,percentile_1w_mean,raw_1w_badfrac,percentile_1w_badfrac,count_1w,raw_2w_mean,percentile_2w_mean,raw_2w_badfrac,percentile_2w_badfrac,count_2w,raw_1m_mean,percentile_1m_mean,raw_1m_badfrac,percentile_1m_badfrac,count_1m
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRA_COMB_AIR:SY18114.OUT,CH-DRA_COMB_AIR,SY-18114,SY,OUT,Output/Demand,BL1825 CURRENT INDICATION,85.09999847,p0990-p0995,0.0,p0990-p0995,6,85.09999846999997,p0990-p0995,0.0,p0990-p0995,18,85.09999847000003,p0990-p0995,0.0,p0990-p0995,36,85.0999984700001,p0990-p0995,0.0,p0990-p0995,72,85.09999846999983,p0990-p0995,0.0,p0990-p0995,144,85.09999846999955,p0990-p0995,0.0,p0990-p0995,288,85.0999984700012,p0100-p0250,0.0,p0990-p0995,779,85.0999984700012,p0975-p0990,0.0,p0990-p0995,779,85.0999984700012,p0975-p0990,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRA_COMB_AIR:TIC18117A.OUT,CH-DRA_COMB_AIR,TIC-18117A,TIC,OUT,Output/Demand,BL1825 SPEED OUTPUT,81.69571940000002,p0990-p0995,0.0,p0990-p0995,6,69.9244787427778,p0975-p0990,0.0,p0990-p0995,18,52.26761658972222,p0975-p0990,0.0,p0990-p0995,36,30.198718964791656,p0750-p0900,0.0,p0990-p0995,72,18.84819051589581,p0500-p0750,0.0,p0990-p0995,144,13.24628761709025,p0500-p0750,0.0,p0990-p0995,288,14.505721336609692,p0500-p0750,0.0,p0990-p0995,779,14.505721336609692,p0500-p0750,0.0,p0990-p0995,779,14.505721336609692,p0500-p0750,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRA_CYCLNS:TT18169B.MEAS,CH-DRA_CYCLNS,TT-18169B,TT,MEAS,Measurement,DRUM DR1826 MOTOR D AMPERAGE,111.43041993333334,p0950-p0975,0.0,p0990-p0995,6,108.42626952222224,p0250-p0500,0.0,p0990-p0995,18,107.61645506111103,p0100-p0250,0.0,p0990-p0995,36,107.21154783055542,p0100-p0250,0.0,p0990-p0995,72,107.09938545694439,p0100-p0250,0.0,p0990-p0995,144,107.33154358333321,p0100-p0250,0.0,p0990-p0995,288,107.38811171527645,p0250-p0500,0.0,p0990-p0995,779,107.38811171527645,p0250-p0500,0.0,p0990-p0995,779,107.38811171527645,p0250-p0500,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRA_FIRE_WTR:TT35447.MEAS,CH-DRA_FIRE_WTR,TT-35447,TT,MEAS,Measurement,DISCHARGE ELBOW DOOR,41.94822502333333,p0050-p0100,0.0,p0990-p0995,6,41.97323905166667,p0050-p0100,0.0,p0990-p0995,18,42.05286460472221,p0050-p0100,0.0,p0990-p0995,36,42.21080774722222,p0050-p0100,0.0,p0990-p0995,72,42.32473418416666,p0100-p0250,0.0,p0990-p0995,144,42.93282445270834,p0100-p0250,0.0,p0990-p0995,288,43.280758418254095,p0100-p0250,0.0,p0990-p0995,779,43.280758418254095,p0100-p0250,0.0,p0990-p0995,779,43.280758418254095,p0100-p0250,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRA_FIRE_WTR:TT35457.MEAS,CH-DRA_FIRE_WTR,TT-35457,TT,MEAS,Measurement,STEAM PRESSURE VALVE FEEDBACK,47.245436348333335,p0975-p0990,0.0,p0990-p0995,6,47.024461957777774,p0975-p0990,0.0,p0990-p0995,18,46.16671095916667,p0950-p0975,0.0,p0990-p0995,36,40.12138418333334,p0750-p0900,0.0,p0990-p0995,72,34.00989898736111,p0500-p0750,0.0,p0990-p0995,144,22.895762051368067,p0100-p0250,0.0,p0990-p0995,288,15.317097771172039,p0050-p0100,0.0,p0990-p0995,779,15.317097771172039,p0025-p0050,0.0,p0990-p0995,779,15.317097771172039,p0010-p0025,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_A:ZT18161.MEAS,CH-DRYER_A,ZT-18161,ZT,MEAS,Measurement,BL1820 WINDING TEMP,0.09765625,p0005-p0010,0.0,p0990-p0995,6,0.09765625,p0005-p0010,0.0,p0990-p0995,18,0.09765625,p0005-p0010,0.0,p0990-p0995,36,0.09765625,p0005-p0010,0.0,p0990-p0995,72,0.09765625,p0005-p0010,0.0,p0990-p0995,144,0.09765625,p0005-p0010,0.0,p0990-p0995,288,0.09765625,<p0005,0.0,p0990-p0995,779,0.09765625,<p0005,0.0,p0990-p0995,779,0.09765625,<p0005,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_D:FY84401.OUT,CH-DRYER_D,FY-84401,FY,OUT,Output/Demand,SYRUP FLOW,0.0,p0005-p0010,0.0,p0990-p0995,6,0.0,p0005-p0010,0.0,p0990-p0995,18,0.0,p0005-p0010,0.0,p0990-p0995,36,0.0,p0005-p0010,0.0,p0990-p0995,72,0.0,p0005-p0010,0.0,p0990-p0995,144,0.0,p0005-p0010,0.0,p0990-p0995,288,0.0,p0005-p0010,0.0,p0990-p0995,779,0.0,p0005-p0010,0.0,p0990-p0995,779,0.0,p0005-p0010,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_D_CY2:TT84311.PNT,CH-DRYER_D_CY2,TT-84311,TT,PNT,Measurement,CV1833 SPEED SWITCH,0.46875,p0010-p0025,0.0,p0990-p0995,6,0.5351074205555556,p0010-p0025,0.0,p0990-p0995,18,0.684268403388889,p0010-p0025,0.0,p0990-p0995,36,1.3811399150138888,p0010-p0025,0.0,p0990-p0995,72,2.509439331368055,p0010-p0025,0.0,p0990-p0995,144,3.9028230146041665,p0010-p0025,0.0,p0990-p0995,288,3.93074324509371,p0010-p0025,0.0,p0990-p0995,779,3.93074324509371,p0010-p0025,0.0,p0990-p0995,779,3.93074324509371,p0025-p0050,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DR_DECANT701:TT17703A.MEAS,CH-DR_DECANT701,TT-17703A,TT,MEAS,Measurement,SYRUP FLOW,46.11111069,p0050-p0100,0.0,p0990-p0995,6,46.111110690000004,p0050-p0100,0.0,p0990-p0995,18,46.335801973611105,p0050-p0100,0.0,p0990-p0995,36,46.56481424944443,p0050-p0100,0.0,p0990-p0995,72,46.33796246972212,p0050-p0100,0.0,p0990-p0995,144,46.62696696607654,p0050-p0100,0.0,p0990-p0995,288,48.92952464822841,p0100-p0250,0.0,p0990-p0995,779,48.92952464822841,p0050-p0100,0.0,p0990-p0995,779,48.92952464822841,p0050-p0100,0.0,p0990-p0995,779
2,2023-01-11T04:50:00.000Z,2023-01-11T20:00:00.000Z,12Hr-24Hr,CH-DRA_FIRE_WTR:TT31111.MEAS,CH-DRA_FIRE_WTR,TT-31111,TT,MEAS,Measurement,DRYER EXH TEMP HIGH SELECT,8.216809908500002,p0050-p0100,0.0,p0990-p0995,6,7.943711307444445,p0025-p0050,0.0,p0990-p0995,18,7.870424442861111,p0025-p0050,0.0,p0990-p0995,36,7.880303654402779,p0025-p0050,0.0,p0990-p0995,72,7.802677700930555,p0025-p0050,0.0,p0990-p0995,144,7.792893285555556,p0025-p0050,0.0,p0990-p0995,288,8.327459140436513,p0050-p0100,0.0,p0990-p0995,1008,8.532619538887904,p0050-p0100,0.0,p0990-p0995,1463,8.532619538887904,p0050-p0100,0.0,p0990-p0995,1463
2,2023-01-11T04:50:00.000Z,2023-01-11T20:00:00.000Z,12Hr-24Hr,CH-DRYER_A:PIC18164.OUT,CH-DRYER_A,PIC-18164,PIC,OUT,Output/Demand,O2 SENSOR 1 CALIBRATION FAILED,0.3128894566666666,p0900-p0950,0.0,p0990-p0995,6,0.2227195840555556,p0750-p0900,0.0,p0990-p0995,18,0.1184230986111111,p0750-p0900,0.0,p0990-p0995,36,0.05921154930555555,p0500-p0750,0.0,p0990-p0995,72,0.029605774652777774,p0500-p0750,0.0,p0990-p0995,144,0.014802887326388887,p0250-p0500,0.0,p0990-p0995,288,0.19545897599801587,p0250-p0500,0.0,p0990-p0995,1008,0.13467029925222146,p0100-p0250,0.0,p0990-p0995,1463,0.13467029925222146,p0050-p0100,0.0,p0990-p0995,1463
2,2023-01-11T04:50:00.000Z,2023-01-11T20:00:00.000Z,12Hr-24Hr,CH-DRYER_A:SI18143A.MEAS,CH-DRYER_A,SI-18143A,SI,MEAS,Measurement,E1825 HEX LOWER DOOR,67.65698623666667,p0050-p0100,0.0,p0990-p0995,6,67.64825185111111,p0050-p0100,0.0,p0990-p0995,18,67.65758281333332,p0050-p0100,0.0,p0990-p0995,36,67.70024395055555,p0100-p0250,0.0,p0990-p0995,72,67.73660638631947,p0250-p0500,0.0,p0990-p0995,144,67.72597908986104,p0250-p0500,0.0,p0990-p0995,288,67.71534874334321,p0100-p0250,0.0,p0975-p0990,1008,67.71584835826378,p0250-p0500,0.0,p0950-p0975,1463,67.71584835826378,p0500-p0750,0.0,p0900-p0950,1463
2,2023-01-11T04:50:00.000Z,2023-01-11T20:00:00.000Z,12Hr-24Hr,CH-DRYER_A:SY18153B.OUT,CH-DRYER_A,SY-18153B,SY,OUT,Output/Demand,BL1829 CURRENT INDICATION,46.344264028,p0050-p0100,0.0,p0990-p0995,6,55.15401214877777,p0250-p0500,0.0,p0990-p0995,18,57.54442283827778,p0250-p0500,0.0,p0990-p0995,36,59.05747834844445,p0500-p0750,0.0,p0990-p0995,72,60.08767094880557,p0500-p0750,0.0,p0990-p0995,144,61.06793551322224,p0500-p0750,0.0,p0990-p0995,288,62.47542582041467,p0750-p0900,0.0,p0990-p0995,1008,62.53683548461928,p0750-p0900,0.0,p0990-p0995,1463,62.53683548461928,p0750-p0900,0.0,p0990-p0995,1463
2,2023-01-11T04:50:00.000Z,2023-01-11T20:00:00.000Z,12Hr-24Hr,CH-DRYER_D:PIC84401.SPT,CH-DRYER_D,PIC-84401,PIC,SPT,Setpoint,CV1827 CURRENT INDICATION,-1.0,p0990-p0995,0.0,p0990-p0995,6,-1.0,p0990-p0995,0.0,p0990-p0995,18,-1.0,p0990-p0995,0.0,p0990-p0995,36,-1.0,p0990-p0995,0.0,p0990-p0995,72,-1.0,p0990-p0995,0.0,p0990-p0995,144,-1.0,p0990-p0995,0.0,p0990-p0995,288,-1.0,p0990-p0995,0.0,p0990-p0995,1008,-1.0,p0990-p0995,0.0,p0990-p0995,1463,-1.0,p0990-p0995,0.0,p0990-p0995,1463
