Shutdown_Number,Shutdown_Start,Recovery_Timestamp,Shutdown_Category,Tag_Full,Area,Instrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Role,Instrumentation_Description,raw_1h_run_frac,percentile_1h_run_frac,raw_1h_stop_frac,percentile_1h_stop_frac,raw_1h_bad_frac,percentile_1h_bad_frac,raw_1h_other_frac,percentile_1h_other_frac,count_1h,raw_3h_run_frac,percentile_3h_run_frac,raw_3h_stop_frac,percentile_3h_stop_frac,raw_3h_bad_frac,percentile_3h_bad_frac,raw_3h_other_frac,percentile_3h_other_frac,count_3h,raw_6h_run_frac,percentile_6h_run_frac,raw_6h_stop_frac,percentile_6h_stop_frac,raw_6h_bad_frac,percentile_6h_bad_frac,raw_6h_other_frac,percentile_6h_other_frac,count_6h,raw_12h_run_frac,percentile_12h_run_frac,raw_12h_stop_frac,percentile_12h_stop_frac,raw_12h_bad_frac,percentile_12h_bad_frac,raw_12h_other_frac,percentile_12h_other_frac,count_12h,raw_24h_run_frac,percentile_24h_run_frac,raw_24h_stop_frac,percentile_24h_stop_frac,raw_24h_bad_frac,percentile_24h_bad_frac,raw_24h_other_frac,percentile_24h_other_frac,count_24h,raw_48h_run_frac,percentile_48h_run_frac,raw_48h_stop_frac,percentile_48h_stop_frac,raw_48h_bad_frac,percentile_48h_bad_frac,raw_48h_other_frac,percentile_48h_other_frac,count_48h,raw_1w_run_frac,percentile_1w_run_frac,raw_1w_stop_frac,percentile_1w_stop_frac,raw_1w_bad_frac,percentile_1w_bad_frac,raw_1w_other_frac,percentile_1w_other_frac,count_1w,raw_2w_run_frac,percentile_2w_run_frac,raw_2w_stop_frac,percentile_2w_stop_frac,raw_2w_bad_frac,percentile_2w_bad_frac,raw_2w_other_frac,percentile_2w_other_frac,count_2w,raw_1m_run_frac,percentile_1m_run_frac,raw_1m_stop_frac,percentile_1m_stop_frac,raw_1m_bad_frac,percentile_1m_bad_frac,raw_1m_other_frac,percentile_1m_other_frac,count_1m
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRA_COMB_AIR:XV18119.STAIND,CH-DRA_COMB_AIR,XV-18119,XV,STAIND,Status,HOT GAS RECYCLE TEMPERATURE,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,6,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,18,0.0,p0975-p0990,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,36,0.0,p0950-p0975,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,72,0.0,p0950-p0975,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,144,0.0,p0900-p0950,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,288,0.0,p0500-p0750,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779,0.0,p0500-p0750,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779,0.0,p0250-p0500,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRA_COMB_AIR:XV18183.STAIND,CH-DRA_COMB_AIR,XV-18183,XV,STAIND,Status,CV1826A SPEED SWITCH,1.0,p0990-p0995,0.0,p0050-p0100,0.0,p0990-p0995,0.0,p0990-p0995,6,1.0,p0990-p0995,0.0,p0025-p0050,0.0,p0990-p0995,0.0,p0990-p0995,18,1.0,p0990-p0995,0.0,p0025-p0050,0.0,p0990-p0995,0.0,p0990-p0995,36,1.0,p0990-p0995,0.0,p0025-p0050,0.0,p0990-p0995,0.0,p0990-p0995,72,1.0,p0990-p0995,0.0,p0025-p0050,0.0,p0990-p0995,0.0,p0990-p0995,144,1.0,p0990-p0995,0.0,p0010-p0025,0.0,p0990-p0995,0.0,p0990-p0995,288,1.0,p0990-p0995,0.0,p0005-p0010,0.0,p0990-p0995,0.0,p0990-p0995,779,1.0,p0990-p0995,0.0,p0005-p0010,0.0,p0990-p0995,0.0,p0990-p0995,779,1.0,p0990-p0995,0.0,p0005-p0010,0.0,p0990-p0995,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRA_CYCLNS:CV1832.STAIND,CH-DRA_CYCLNS,CV-1832,CV,STAIND,Equipment status,CYCLONE SCREW CONVEYOR,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,6,1.0,p0990-p0995,0.0,p0975-p0990,0.0,p0990-p0995,0.0,p0990-p0995,18,1.0,p0990-p0995,0.0,p0950-p0975,0.0,p0990-p0995,0.0,p0990-p0995,36,1.0,p0990-p0995,0.0,p0950-p0975,0.0,p0990-p0995,0.0,p0990-p0995,72,1.0,p0990-p0995,0.0,p0900-p0950,0.0,p0990-p0995,0.0,p0990-p0995,144,1.0,p0990-p0995,0.0,p0750-p0900,0.0,p0990-p0995,0.0,p0990-p0995,288,1.0,p0990-p0995,0.0,p0500-p0750,0.0,p0990-p0995,0.0,p0990-p0995,779,1.0,p0990-p0995,0.0,p0250-p0500,0.0,p0990-p0995,0.0,p0990-p0995,779,1.0,p0990-p0995,0.0,p0100-p0250,0.0,p0990-p0995,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_A:CV1828.STAIND,CH-DRYER_A,CV-1828,CV,STAIND,Equipment status,DRUM DISCHARGE SCREW CVYR,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,6,1.0,p0990-p0995,0.0,p0975-p0990,0.0,p0990-p0995,0.0,p0990-p0995,18,1.0,p0990-p0995,0.0,p0975-p0990,0.0,p0990-p0995,0.0,p0990-p0995,36,1.0,p0990-p0995,0.0,p0950-p0975,0.0,p0990-p0995,0.0,p0990-p0995,72,1.0,p0990-p0995,0.0,p0900-p0950,0.0,p0990-p0995,0.0,p0990-p0995,144,1.0,p0990-p0995,0.0,p0750-p0900,0.0,p0990-p0995,0.0,p0990-p0995,288,1.0,p0990-p0995,0.0,p0500-p0750,0.0,p0990-p0995,0.0,p0990-p0995,779,1.0,p0990-p0995,0.0,p0500-p0750,0.0,p0990-p0995,0.0,p0990-p0995,779,1.0,p0990-p0995,0.0,p0250-p0500,0.0,p0990-p0995,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_A:DR1826.STAIND,CH-DRYER_A,DR-1826,DR,STAIND,Equipment status,DRUM DR1826 MASTER  START,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,6,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,18,1.0,p0990-p0995,0.0,p0975-p0990,0.0,p0990-p0995,0.0,p0990-p0995,36,1.0,p0990-p0995,0.0,p0950-p0975,0.0,p0990-p0995,0.0,p0990-p0995,72,1.0,p0990-p0995,0.0,p0900-p0950,0.0,p0990-p0995,0.0,p0990-p0995,144,1.0,p0990-p0995,0.0,p0900-p0950,0.0,p0990-p0995,0.0,p0990-p0995,288,1.0,p0990-p0995,0.0,p0500-p0750,0.0,p0990-p0995,0.0,p0990-p0995,779,1.0,p0990-p0995,0.0,p0500-p0750,0.0,p0990-p0995,0.0,p0990-p0995,779,1.0,p0990-p0995,0.0,p0250-p0500,0.0,p0990-p0995,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_A:KS18145A.STAIND,CH-DRYER_A,KS-18145A,KS,STAIND,Equipment status,DRUM DR1826 FRONT LUBEN TIMER,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,6,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,18,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,36,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,72,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,144,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,288,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_A:P1826.STAIND,CH-DRYER_A,P-1826,P,STAIND,Equipment status,PUMP P1836,0.0,p0500-p0750,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,6,0.0,p0250-p0500,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,18,0.0,p0100-p0250,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,36,0.0,p0050-p0100,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,72,0.0,p0050-p0100,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,144,0.0,p0050-p0100,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,288,0.0,p0025-p0050,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779,0.0,p0025-p0050,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779,0.0,p0005-p0010,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_A:XV18142.STAIND,CH-DRYER_A,XV-18142,XV,STAIND,Status,PARTICULATE INDICATION,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,6,0.0,p0990-p0995,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,18,0.0,p0975-p0990,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,36,0.0,p0950-p0975,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,72,0.0,p0950-p0975,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,144,0.0,p0900-p0950,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,288,0.0,p0500-p0750,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779,0.0,p0500-p0750,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779,0.0,p0250-p0500,1.0,p0990-p0995,0.0,p0990-p0995,0.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_D:CV1802D.STAIND,CH-DRYER_D,CV-1802D,CV,STAIND,Equipment status,DOSING BIN SCREW CVYR B,0.0,p0025-p0050,0.0,p0900-p0950,0.0,p0990-p0995,1.0,p0990-p0995,6,0.0,p0025-p0050,0.0,p0900-p0950,0.0,p0990-p0995,1.0,p0990-p0995,18,0.0,p0025-p0050,0.0,p0900-p0950,0.0,p0990-p0995,1.0,p0990-p0995,36,0.0,p0025-p0050,0.0,p0750-p0900,0.0,p0990-p0995,1.0,p0990-p0995,72,0.0,p0025-p0050,0.0,p0750-p0900,0.0,p0990-p0995,1.0,p0990-p0995,144,0.0,p0025-p0050,0.0,p0500-p0750,0.0,p0990-p0995,1.0,p0990-p0995,288,0.0,p0025-p0050,0.0,p0250-p0500,0.0,p0990-p0995,1.0,p0990-p0995,779,0.0,p0025-p0050,0.0,p0100-p0250,0.0,p0990-p0995,1.0,p0990-p0995,779,0.0,p0025-p0050,0.0,p0050-p0100,0.0,p0990-p0995,1.0,p0990-p0995,779
1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,1-3Hr,CH-DRYER_D:DR1801D.STAIND,CH-DRYER_D,DR-1801D,DR,STAIND,Equipment status,RECYCLE DRAG CONVEYOR,0.0,p0025-p0050,0.0,p0900-p0950,0.0,p0990-p0995,1.0,p0990-p0995,6,0.0,p0025-p0050,0.0,p0900-p0950,0.0,p0990-p0995,1.0,p0990-p0995,18,0.0,p0025-p0050,0.0,p0900-p0950,0.0,p0990-p0995,1.0,p0990-p0995,36,0.0,p0025-p0050,0.0,p0750-p0900,0.0,p0990-p0995,1.0,p0990-p0995,72,0.0,p0025-p0050,0.0,p0750-p0900,0.0,p0990-p0995,1.0,p0990-p0995,144,0.0,p0025-p0050,0.0,p0500-p0750,0.0,p0990-p0995,1.0,p0990-p0995,288,0.0,p0010-p0025,0.0,p0250-p0500,0.0,p0990-p0995,1.0,p0990-p0995,779,0.0,p0010-p0025,0.0,p0100-p0250,0.0,p0990-p0995,1.0,p0990-p0995,779,0.0,p0005-p0010,0.0,p0050-p0100,0.0,p0990-p0995,1.0,p0990-p0995,779
