WorkOrder_Asset,WorkOrder_Description,Work_Order,Location,Location_Normalized,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site,Assets,Asset_Descriptions,Parent,IsProblematic,Plant_Area,Area,Tag_Full,INstrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Instrumentation_Data_Type_Meaning,INstrumentation_Type_Description,Role,Instrumentation_Description,Related_Location_Cleaned,Shutdown_Number,Shutdown_Start,Shutdown_End,Shutdown_Length_Hours,Shutdown_Length_Days,Completed_DuringShutdown,Reported_1HrBeforeShutdown,Reported_6HrBeforeShutdown,Reported_24HrBeforeShutdown,Reported_DuringShutdown,Completed_Within24HrsAfterShutdown,Completed_Within1HrsAfterShutdown,Completed_Within1HrsBeforeShutdown,Match_Priority,rn
1314,Install safety treads on the staircase to security trailer,23-31302,BU-ADMIN,BU-ADMIN,,,1-5-23 12:42 PM,2023-01-05T12:42:00.000Z,1-13-23 12:00 PM,2023-01-13T12:00:00.000Z,1-6-23 4:00 PM,2023-01-06T16:00:00.000Z,1,1,,SA,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,No,Yes,No,Yes,No,No,4,1
4868,Clean Weigh Belt,23-31303,SC-1301,SC-1301,,,1-5-23 12:49 PM,2023-01-05T12:49:00.000Z,1-12-23 11:54 AM,2023-01-12T11:54:00.000Z,1-10-23 1:24 PM,2023-01-10T13:24:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,No,Yes,No,No,No,No,4,1
6309,TA 23 Gasket Failure of Chevron wash to V-1630,23-31310,V-1630,V-1630,,OC-MECH,1-5-23 3:33 PM,2023-01-05T15:33:00.000Z,4-24-23 11:12 AM,2023-04-24T11:12:00.000Z,5-24-23 8:22 AM,2023-05-24T08:22:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,No,Yes,No,No,No,No,4,1
1487,SD23 - CIP return v/v to E-1400 is passing,23-31312,E-1400,E-1400,,,1-5-23 3:35 PM,2023-01-05T15:35:00.000Z,,,3-9-23 8:38 AM,2023-03-09T08:38:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,No,Yes,No,No,No,No,4,1
6728,Steve M/Viraj- Commission P-1308B Monday,23-31313,P-1305B,P-1305B,,,1-5-23 4:09 PM,2023-01-05T16:09:00.000Z,1-9-23 4:09 PM,2023-01-09T16:09:00.000Z,1-9-23 5:39 PM,2023-01-09T17:39:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,No,Yes,No,No,No,No,4,1
9816,komatsu loader driving issue,23-31314,LD-2100,LD-2100,,,1-6-23 7:13 AM,2023-01-06T07:13:00.000Z,1-6-23 1:00 PM,2023-01-06T13:00:00.000Z,1-6-23 3:13 PM,2023-01-06T15:13:00.000Z,2,2,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,Yes,Yes,No,Yes,No,No,4,1
1117,remove strainer/Clean and inspect,23-31319,P-1844,P-1844,,,1-6-23 8:04 AM,2023-01-06T08:04:00.000Z,1-13-23 2:58 PM,2023-01-13T14:58:00.000Z,1-12-23 6:27 AM,2023-01-12T06:27:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,1117,GOULDS PUMP 3196 MTi,,No,DRYER A,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,Yes,Yes,No,No,No,No,4,1
,,23-31320,,,,,1-6-23 8:05 AM,2023-01-06T08:05:00.000Z,1-13-23 2:58 PM,2023-01-13T14:58:00.000Z,1-6-23 3:14 PM,2023-01-06T15:14:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,Yes,Yes,No,Yes,No,No,4,1
1117,reinstall,23-31322,P-1844,P-1844,,,1-6-23 8:06 AM,2023-01-06T08:06:00.000Z,1-13-23 2:58 PM,2023-01-13T14:58:00.000Z,1-12-23 6:27 AM,2023-01-12T06:27:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,1117,GOULDS PUMP 3196 MTi,,No,DRYER A,,,,,,,,,,,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,Yes,Yes,No,No,No,No,4,1
2536,Reapply silicone around insulation on dryer cyclones,23-31323,CY-1829,CY-1829,,,1-6-23 8:29 AM,2023-01-06T08:29:00.000Z,2-23-23 1:03 PM,2023-02-23T13:03:00.000Z,2-6-23 2:20 PM,2023-02-06T14:20:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,2536,"CYCLONE ASSEMBLY, LEFT HAND, DEDERT MODEL# CYCL-12 B",,No,DRYER A,CH-DRYER_A,CH-DRYER_A:IT18152.MEAS,IT-18152,IT,MEAS,Measured value (PV),Current transmitter (motor amps),Measurement,CY1829 TOP TEMP,CY-1829,1,2023-01-06T09:50:00.000Z,2023-01-06T10:50:00.000Z,115.0,4.791666666666667,No,No,Yes,Yes,No,No,No,No,4,1
