Work_Order,Description,Location,Location_Normalized,Asset,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site
23-54129,INSTALL TRANSMITTER INTO DUCTWORK,,,,,,1-1-24 1:53 AM,2024-01-01T01:53:00.000Z,2-12-24 9:45 AM,2024-02-12T09:45:00.000Z,6-20-24 2:48 PM,2024-06-20T14:48:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54128,CLEAN SENSOR,,,,,,1-1-24 1:53 AM,2024-01-01T01:53:00.000Z,2-12-24 10:00 AM,2024-02-12T10:00:00.000Z,6-20-24 2:48 PM,2024-06-20T14:48:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54127,PULL TRANSMITTER OUT OF DUCTWORK,,,,,,1-1-24 1:53 AM,2024-01-01T01:53:00.000Z,2-12-24 9:45 AM,2024-02-12T09:45:00.000Z,6-20-24 2:48 PM,2024-06-20T14:48:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54126,INSPECT AND CLEAN FLOW/TEMPERATURE SENSOR FOR DRYER A COMBUSTION AIR,,,,,,1-1-24 1:53 AM,2024-01-01T01:53:00.000Z,2-12-24 10:30 AM,2024-02-12T10:30:00.000Z,6-20-24 2:48 PM,2024-06-20T14:48:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54125,PH PROBE CLEANING AND CALIBRATION WEEKLY PM,AT-84505,AT-84505,6885,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-25-24 1:00 AM,2024-01-25T01:00:00.000Z,1-25-24 3:03 PM,2024-01-25T15:03:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54124,C-1803D pH Meter-Weekly PM,AT-84505,AT-84505,6885,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-25-24 12:00 AM,2024-01-25T00:00:00.000Z,1-25-24 12:12 AM,2024-01-25T00:12:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54123,"Area Asset Checks-1830, 1840, DDG Cooler",1800,1800,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-30-24 6:52 AM,2024-01-30T06:52:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54122,"Area Asset Checks-1830, 1840, DDG Cooler",1800,1800,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-54121,"Area Asset Checks-2200, 2300, 3200, 3600, 4100",2200,2200,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-30-24 7:59 AM,2024-01-30T07:59:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-54120,"Area Asset Checks-2200, 2300, 3200, 3600, 4100",2200,2200,,,,1-1-24 1:52 AM,2024-01-01T01:52:00.000Z,1-29-24 12:00 AM,2024-01-29T00:00:00.000Z,1-29-24 1:00 AM,2024-01-29T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
