WorkOrder_Asset,WorkOrder_Description,Work_Order,Location,Location_Normalized,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site,Assets,Asset_Descriptions,Parent,IsProblematic,Area,Tag_Full,INstrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Instrumentation_Data_Type_Meaning,INstrumentation_Type_Description,Role,Instrumentation_Description,Related_Location_Cleaned
,CIP drain valve solenoid will not close,23-31248,1400,1400,,,1-3-23 8:10 AM,2023-01-03T08:10:00.000Z,1-9-23 11:19 AM,2023-01-09T11:19:00.000Z,1-3-23 2:16 PM,2023-01-03T14:16:00.000Z,2,2,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,"DC 1834 Air Sweep \"A\" came loose",23-31249,DC-1834,DC-1834,,,1-3-23 8:21 AM,2023-01-03T08:21:00.000Z,1-3-23 5:15 AM,2023-01-03T05:15:00.000Z,1-4-23 7:19 AM,2023-01-04T07:19:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,"2538, 2539, 6996","FIKE FLAMELESS VENT - E34-004-3636, FIKE FLAMELESS VENT - E34-004-3636, DUST COLLECTOR, IMF, MODEL XXX",6996,Yes,,,,,,,,,,
,CG-2 All Entry Doors latching mechanisms,23-31250,3690,3690,,,1-3-23 8:26 AM,2023-01-03T08:26:00.000Z,1-24-23 1:32 AM,2023-01-24T01:32:00.000Z,3-30-23 8:41 AM,2023-03-30T08:41:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,Steam line to heater leaking in Decanter Building,23-31251,1700,1700,,,1-3-23 8:27 AM,2023-01-03T08:27:00.000Z,1-3-23 5:15 AM,2023-01-03T05:15:00.000Z,1-3-23 3:00 PM,2023-01-03T15:00:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1453,DA 3602 PIC 69106 Frozen,23-31252,DA-3602,DA-3602,,,1-3-23 8:27 AM,2023-01-03T08:27:00.000Z,1-28-23 12:39 AM,2023-01-28T00:39:00.000Z,1-12-23 2:11 AM,2023-01-12T02:11:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,The CB in the front entrance trailer is no longer working,23-31253,0000,0000,,,1-3-23 8:31 AM,2023-01-03T08:31:00.000Z,1-10-23 2:19 PM,2023-01-10T14:19:00.000Z,3-1-23 3:51 PM,2023-03-01T15:51:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
4946,Safety Shower in Chem storage bldg valve is leaking,23-31254,SS-3516,SS-3516,,,1-3-23 8:37 AM,2023-01-03T08:37:00.000Z,1-6-23 10:18 AM,2023-01-06T10:18:00.000Z,1-4-23 8:43 AM,2023-01-04T08:43:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
1272,Flexible seal on exhaust duct is leaking,23-31255,B-3602,B-3602,,,1-3-23 8:40 AM,2023-01-03T08:40:00.000Z,5-1-23 5:26 PM,2023-05-01T17:26:00.000Z,1-8-23 7:26 PM,2023-01-08T19:26:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,Steam leaking from trap off RC2 steam feed to reboiler,23-31256,1500-PD-15H,1500-PD-15H,,,1-3-23 9:10 AM,2023-01-03T09:10:00.000Z,1-6-23 1:02 PM,2023-01-06T13:02:00.000Z,1-11-23 7:28 AM,2023-01-11T07:28:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,Utility water leak on piping under E-1511s,23-31257,3500-26K-04,3500-26K-04,,TAYLOR.LINDSAY,1-3-23 9:17 AM,2023-01-03T09:17:00.000Z,1-6-23 8:55 AM,2023-01-06T08:55:00.000Z,1-9-23 1:05 PM,2023-01-09T13:05:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
4868,Weigh belt calibration- Ktron,23-31258,SC-1301,SC-1301,,,1-3-23 9:30 AM,2023-01-03T09:30:00.000Z,4-23-23 9:36 AM,2023-04-23T09:36:00.000Z,5-2-23 1:38 PM,2023-05-02T13:38:00.000Z,4,4,,CAL,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,Re-install EHT to E-11402 CIP Supply/Return pipelines,23-31259,1400-PD-14G,1400-PD-14G,,,1-3-23 9:34 AM,2023-01-03T09:34:00.000Z,,,1-3-23 9:51 AM,2023-01-03T09:51:00.000Z,4,4,,CP,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
,Re-install wiring to E-11402 instruments,23-31260,1400-PD-14G,1400-PD-14G,,,1-3-23 9:35 AM,2023-01-03T09:35:00.000Z,,,1-3-23 9:51 AM,2023-01-03T09:51:00.000Z,4,4,,CP,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
4448,PSV-36803 - Issues found during inspection,23-31261,PSV-36803,PSV-36803,,,1-3-23 9:39 AM,2023-01-03T09:39:00.000Z,4-30-23 9:07 AM,2023-04-30T09:07:00.000Z,5-2-23 10:38 AM,2023-05-02T10:38:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM,,,,,,,,,,,,,,
