Asset,Description,Location,IsProblematic,Preventative Maintenance,Plant Area,Parent,YTD Direct Costs,YTD Rolled Costs,Life Direct Costs,UniqueLocation,Life Rolled Costs
7152,CY-1823   (Cooling Tube Spark Detector Element),AE-18801A,No,,DDG,,0,$0.00,0,1,$0.00
7153,CY-1823  (Cooling Tube Spark Detector Element),AE-18801B,No,,DDG,,0,$0.00,0,1,$0.00
3617,COMBUSTION OXYGEN MONITOR,AT-18140,No,,DRYER A,,0,$0.00,225,1,$225.00
3618,FILTER REGULATOR / COALESCING FILTER COMBO,AT-18140,No,,DRYER A,,0,$0.00,0,0,$0.00
3619,FILTER REGULATOR / COALESCING FILTER COMBO,AT-18141,No,,DRYER A,,0,$0.00,0,1,$0.00
3620,COMBUSTION OXYGEN MONITOR,AT-18141,No,,DRYER A,,0,$0.00,0,0,$0.00
1239,CY-1823  (Cooling Tube Spark Detector Transmitter),AT-18801A,No,,DDG,,0,$0.00,0,1,$0.00
1240,CY-1823  (Cooling Tube Spark Detector Transmitter),AT-18801B,No,,DDG,,0,$0.00,0,1,$0.00
1278,"BUCKET ELEVATOR, MARTIN, C147-124, 14"" x 7""",BE-1805,No,,DDG,,136,$136.00,69001.6,1,"$69,001.60"
1289,"BLOWER, NYB, SERIES 20, GI, SIZE 454, CCW, UB, Arrg't 9, 15000CFM, S.P.9""H20, 956RPM,",BL-1801D,No,,DRYER D,,0,$0.00,8750.57,1,"$8,750.57"
7012,"MOTOR, RELIANCE ELECTRIC, 40HP / 1770RPM / TEFC / 575V/3PH/60HZ / 324T FRAME",BL-1801D,No,,DRYER D,1289,0,$0.00,0,0,$0.00
1290,"BLOWER, IAP, MODEL XRT SIZE 445, CW/UB, Arrg't 12",BL-1802,No,,DRYER D,,544,$544.00,125118.79,1,"$125,118.79"
7029,250HP / 1785RPM / TEFC / 575V/3PH/60HZ / 504/5T FRAME,BL-1802,No,,DRYER D,1290,0,$0.00,0,0,$0.00
1292,"BLOWER, NYB, SERIES 30 GI, MODEL 854, DH, 88,000CFM, 11.4in wg, 735RPM,",BL-1803D,No,,DRYER D,,147,$147.00,155652.64,1,"$155,652.64"
1293,"BLOWER, NYB, MODEL 714 SERIES 45, GENERAL INDUSTRIAL, CW/UB, Arrg't 8",BL-1804D,No,,DRYER D,,20348.34,"$20,348.34",304775.74,1,"$304,775.74"
6864,MOTOR / 450HP / 1200RPM / TEFC / 2300V/3PH/60HZ / FR# 5808C,BL-1804D,No,,DRYER D,1293,0,$0.00,0,0,$0.00
1294,DDGS COOLER BLOWER,BL-1824,No,,DRYER A,,829,$829.00,28481.28,1,"$28,481.28"
10032,"BLOWER, HOWDEN, FAN MODEL E20S-7125",BL-1825,No,,DRYER A,,0,$0.00,225,1,$225.00
10033,300HP / 1200RPM / TEFC / 575V/3PH/60HZ / 5009B FRAME,BL-1825,No,,DRYER A,10032,0,$0.00,0,0,$0.00
10034,"BLOWER, HOWDEN, FAN MODEL E40S-8700 SWSI CCW TAU Arrg't7",BL-1829,Yes,,DRYER A,,0,$0.00,10266.51,1,"$10,784.01"
